order_id,product_id
0041-0028-47,50900011
0041-0028-47,54090691
0041-0028-47,84898030
0041-0028-47,85978470
0041-0028-47,86002178
0041-0028-47,86018632
0041-0028-47,51842786
0041-0028-47,55104721
0041-0028-47,63621845
0041-0028-47,77427870
0041-0028-47,82892722
0041-0028-47,89436443
0041-0028-47,54310052
0041-0028-47,67672622
0041-0028-47,74636581
0041-0028-47,82873120
0041-0028-47,86020070
0041-0028-47,87446077
0041-0028-47,89442406
0041-0028-47,50618150
0041-0028-47,54550913
0041-0028-47,65874317
0041-0028-47,73458205
0041-0028-47,75531109
0041-0028-47,77090984
0041-0028-47,78911934
0041-0028-47,85995564
0041-0076-44,67834986
0041-0076-44,76297275
0041-0076-44,77091314
0041-0076-44,77453671
0041-0076-44,83603376
0041-0076-44,85407300
0041-0076-44,86000324
0041-0076-44,87737983
0041-0076-44,90006427
0041-0076-44,50494185
0041-0076-44,50502436
0041-0076-44,50550228
0041-0076-44,51252015
0041-0076-44,81035392
0041-0076-44,84619523
0041-0076-44,85988233
0041-0076-44,87224372
0041-0076-44,87445723
0041-0076-44,88710333
0041-0076-44,88913099
0041-0076-44,88915990
0041-0076-44,89982008
0041-0076-44,50392979
0041-0076-44,50502269
0041-0076-44,51421294
0041-0076-44,54950624
0041-0076-44,60590919
0041-0076-44,75900174
0041-0076-44,79383243
0041-0076-44,79983155
0041-0076-44,82415082
0041-0076-44,84525340
0041-0076-44,84525680
0041-0076-44,84635662
0041-0076-44,85880095
0041-0076-44,85953735
0041-0076-44,86173504
0041-0076-44,87884237
0041-0076-44,50310444
0041-0076-44,50652534
0041-0076-44,57431537
0041-0076-44,71292138
0041-0076-44,76121271
0041-0076-44,78472335
0041-0076-44,84597173
0041-0076-44,84604682
0041-0076-44,85089577
0041-0076-44,87859533
0041-0076-44,88706834
0041-0076-44,89445372
0041-0076-44,89459871
0041-0095-35,50342538
0041-0095-35,50652534
0041-0095-35,50675363
0041-0095-35,60576592
0041-0095-35,84347994
0041-0095-35,84643643
0041-0095-35,86014688
0041-0095-35,50666662
0041-0095-35,64156680
0041-0095-35,73446346
0041-0095-35,80965700
0041-0095-35,84810486
0041-0095-35,86004412
0041-0095-35,87177798
0041-0095-35,50502436
0041-0095-35,50735886
0041-0095-35,50934973
0041-0095-35,51543627
0041-0095-35,58119296
0041-0095-35,64888268
0041-0095-35,81004086
0041-0095-35,85202035
0041-0095-35,88315381
0041-0095-35,51296510
0041-0095-35,51583337
0041-0095-35,52567868
0041-0095-35,77546204
0041-0095-35,83741822
0041-0095-35,84853878
0041-0095-35,85088929
0041-0095-35,85116287
0041-0095-35,85251229
0041-0095-35,85687572
0041-0095-35,86729597
0041-0095-35,87232094
0041-0095-35,87896914
0041-0095-35,88310599
0041-0095-35,89441382
0041-0164-99,51464035
0041-0164-99,77535252
0041-0164-99,89432424
0041-0164-99,89970685
0041-0164-99,53676386
0041-0164-99,60490106
0041-0164-99,64233099
0041-0164-99,71967884
0041-0164-99,74275696
0041-0164-99,80011205
0041-0164-99,85973354
0041-0164-99,86489655
0041-0164-99,89608782
0041-0164-99,90609428
0041-0164-99,90989979
0041-0164-99,50695713
0041-0164-99,53088304
0041-0164-99,60266056
0041-0164-99,65619650
0041-0164-99,71311808
0041-0164-99,74015982
0041-0164-99,82236541
0041-0164-99,86010750
0041-0164-99,89450045
0041-0164-99,89915493
0041-0164-99,89973682
0041-0164-99,52194030
0041-0164-99,53720651
